,category,data,source,day,day_of_week,key_category,name_category
881,Экономика,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=28, tm_hour=5, tm_min=53, tm_sec=21, tm_wday=2, tm_yday=362, tm_isdst=0)",https://www.vedomosti.ru/rss/news,28.12.2022,2,business,Экономика и бизнес
882,Бизнес,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=28, tm_hour=5, tm_min=33, tm_sec=35, tm_wday=2, tm_yday=362, tm_isdst=0)",https://www.vedomosti.ru/rss/news,28.12.2022,2,business,Экономика и бизнес
883,Бизнес,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=28, tm_hour=5, tm_min=1, tm_sec=37, tm_wday=2, tm_yday=362, tm_isdst=0)",https://www.vedomosti.ru/rss/news,28.12.2022,2,business,Экономика и бизнес
884,Бизнес,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=27, tm_hour=18, tm_min=50, tm_sec=42, tm_wday=1, tm_yday=361, tm_isdst=0)",https://www.vedomosti.ru/rss/news,27.12.2022,1,business,Экономика и бизнес
885,Финансы,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=27, tm_hour=17, tm_min=36, tm_sec=19, tm_wday=1, tm_yday=361, tm_isdst=0)",https://www.vedomosti.ru/rss/news,27.12.2022,1,business,Экономика и бизнес
886,Бизнес,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=27, tm_hour=16, tm_min=32, tm_sec=2, tm_wday=1, tm_yday=361, tm_isdst=0)",https://www.vedomosti.ru/rss/news,27.12.2022,1,business,Экономика и бизнес
887,Финансы,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=27, tm_hour=16, tm_min=11, tm_sec=14, tm_wday=1, tm_yday=361, tm_isdst=0)",https://www.vedomosti.ru/rss/news,27.12.2022,1,business,Экономика и бизнес
888,Бизнес,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=27, tm_hour=15, tm_min=33, tm_sec=28, tm_wday=1, tm_yday=361, tm_isdst=0)",https://www.vedomosti.ru/rss/news,27.12.2022,1,business,Экономика и бизнес
889,Экономика,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=27, tm_hour=15, tm_min=6, tm_sec=10, tm_wday=1, tm_yday=361, tm_isdst=0)",https://www.vedomosti.ru/rss/news,27.12.2022,1,business,Экономика и бизнес
890,Бизнес,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=27, tm_hour=14, tm_min=7, tm_sec=5, tm_wday=1, tm_yday=361, tm_isdst=0)",https://www.vedomosti.ru/rss/news,27.12.2022,1,business,Экономика и бизнес
891,Экономика,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=27, tm_hour=13, tm_min=48, tm_sec=10, tm_wday=1, tm_yday=361, tm_isdst=0)",https://www.vedomosti.ru/rss/news,27.12.2022,1,business,Экономика и бизнес
892,Экономика,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=27, tm_hour=12, tm_min=24, tm_sec=37, tm_wday=1, tm_yday=361, tm_isdst=0)",https://www.vedomosti.ru/rss/news,27.12.2022,1,business,Экономика и бизнес
893,Экономика,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=27, tm_hour=12, tm_min=9, tm_sec=2, tm_wday=1, tm_yday=361, tm_isdst=0)",https://www.vedomosti.ru/rss/news,27.12.2022,1,business,Экономика и бизнес
894,Экономика,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=27, tm_hour=12, tm_min=1, tm_sec=40, tm_wday=1, tm_yday=361, tm_isdst=0)",https://www.vedomosti.ru/rss/news,27.12.2022,1,business,Экономика и бизнес
895,Финансы,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=27, tm_hour=11, tm_min=25, tm_sec=14, tm_wday=1, tm_yday=361, tm_isdst=0)",https://www.vedomosti.ru/rss/news,27.12.2022,1,business,Экономика и бизнес
896,Бизнес,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=27, tm_hour=10, tm_min=27, tm_sec=49, tm_wday=1, tm_yday=361, tm_isdst=0)",https://www.vedomosti.ru/rss/news,27.12.2022,1,business,Экономика и бизнес
897,Бизнес,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=27, tm_hour=10, tm_min=0, tm_sec=33, tm_wday=1, tm_yday=361, tm_isdst=0)",https://www.vedomosti.ru/rss/news,27.12.2022,1,business,Экономика и бизнес
898,Экономика,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=27, tm_hour=8, tm_min=47, tm_sec=15, tm_wday=1, tm_yday=361, tm_isdst=0)",https://www.vedomosti.ru/rss/news,27.12.2022,1,business,Экономика и бизнес
899,Экономика,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=27, tm_hour=8, tm_min=24, tm_sec=52, tm_wday=1, tm_yday=361, tm_isdst=0)",https://www.vedomosti.ru/rss/news,27.12.2022,1,business,Экономика и бизнес
900,Экономика,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=27, tm_hour=8, tm_min=10, tm_sec=24, tm_wday=1, tm_yday=361, tm_isdst=0)",https://www.vedomosti.ru/rss/news,27.12.2022,1,business,Экономика и бизнес
